activity_id,activity_key,account_id,platform,account_label,account_handle,external_id,posted_at,activity_date,title,body,content_type,post_url,destination_url,campaign,offer,promo_code,views,likes,comments,shares,engagements,clicks,orders,revenue,source_kind,source_url,collected_at,platform_same_day_gain,total_same_day_gain,total_3d_gain,total_7d_gain
,lady-sublime-facebook-page:external:107579258704403_819723550825486,lady-sublime-facebook-page,facebook,Facebook Page,Lady Sublime,107579258704403_819723550825486,2025-11-18T19:37:38+0000,2025-11-18,Facebook Page post,,post,https://www.facebook.com/984245981039908/posts/819723550825486,,,,,,143,19,0,162,,,,meta_recent_content,https://graph.facebook.com/v25.0/107579258704403,2026-07-07T08:03:45-04:00,,,,
,girlfriend-instagram:external:17988918542907177,girlfriend-instagram,instagram,Instagram,officialladysublime,17988918542907177,2025-11-18T19:37:32+0000,2025-11-18,Instagram carousel_album,,carousel_album,https://www.instagram.com/p/DRNbWncEn3i/,,,,,,6438,260,,6698,,,,meta_recent_content,https://graph.facebook.com/v25.0/17841434948962018,2026-07-07T08:03:41-04:00,,,,
,lady-sublime-facebook-page:external:107579258704403_767220922742416,lady-sublime-facebook-page,facebook,Facebook Page,Lady Sublime,107579258704403_767220922742416,2025-09-17T01:54:00+0000,2025-09-17,Facebook Page post,,post,https://www.facebook.com/984245981039908/posts/767220922742416,,,,,,84,9,0,93,,,,meta_recent_content,https://graph.facebook.com/v25.0/107579258704403,2026-07-07T08:03:45-04:00,,,,
,girlfriend-instagram:external:18083900222502546,girlfriend-instagram,instagram,Instagram,officialladysublime,18083900222502546,2025-09-17T01:53:55+0000,2025-09-17,Instagram carousel_album,,carousel_album,https://www.instagram.com/p/DOr4WMxiQ8h/,,,,,,2966,109,,3075,,,,meta_recent_content,https://graph.facebook.com/v25.0/17841434948962018,2026-07-07T08:03:41-04:00,,,,
,girlfriend-instagram:external:18087784048871267,girlfriend-instagram,instagram,Instagram,officialladysublime,18087784048871267,2025-09-17T01:10:34+0000,2025-09-17,Instagram reel,,reel,https://www.instagram.com/reel/DOrzK68D9zP/,,,,,,15,0,,15,,,,meta_recent_content,https://graph.facebook.com/v25.0/17841434948962018,2026-07-07T08:03:41-04:00,,,,
,girlfriend-instagram:external:18198557929312255,girlfriend-instagram,instagram,Instagram,officialladysublime,18198557929312255,2025-09-17T01:05:49+0000,2025-09-17,Instagram reel,,reel,https://www.instagram.com/reel/DOryrRfj1x_/,,,,,,13,1,,14,,,,meta_recent_content,https://graph.facebook.com/v25.0/17841434948962018,2026-07-07T08:03:41-04:00,,,,
,girlfriend-instagram:external:17921907945117331,girlfriend-instagram,instagram,Instagram,officialladysublime,17921907945117331,2025-09-17T01:01:54+0000,2025-09-17,Instagram reel,,reel,https://www.instagram.com/reel/DOrxQM7j41i/,,,,,,13,1,,14,,,,meta_recent_content,https://graph.facebook.com/v25.0/17841434948962018,2026-07-07T08:03:41-04:00,,,,
,lady-sublime-facebook-page:external:107579258704403_742160631915112,lady-sublime-facebook-page,facebook,Facebook Page,Lady Sublime,107579258704403_742160631915112,2025-08-16T02:17:12+0000,2025-08-16,Facebook Page reel,,reel,https://www.facebook.com/reel/1119748093399860/,,,,,,181,27,2,210,,,,meta_recent_content,https://graph.facebook.com/v25.0/107579258704403,2026-07-07T08:03:45-04:00,,,,
,girlfriend-instagram:external:18060616307370977,girlfriend-instagram,instagram,Instagram,officialladysublime,18060616307370977,2025-08-16T02:03:30+0000,2025-08-16,Instagram reel,,reel,https://www.instagram.com/reel/DNZfSCExWbY/,,,,,,6914,366,,7280,,,,meta_recent_content,https://graph.facebook.com/v25.0/17841434948962018,2026-07-07T08:03:41-04:00,,,,
,girlfriend-instagram:external:17903950800090654,girlfriend-instagram,instagram,Instagram,officialladysublime,17903950800090654,2025-07-28T07:03:20+0000,2025-07-28,Instagram reel,,reel,https://www.instagram.com/reel/DMpHJQnND4w/,,,,,,3334,59,,3393,,,,meta_recent_content,https://graph.facebook.com/v25.0/17841434948962018,2026-07-07T08:03:41-04:00,,,,
,lady-sublime-facebook-page:external:107579258704403_727270700070772,lady-sublime-facebook-page,facebook,Facebook Page,Lady Sublime,107579258704403_727270700070772,2025-07-28T07:00:57+0000,2025-07-28,Facebook Page reel,,reel,https://www.facebook.com/reel/1322477252730257/,,,,,,102,12,1,115,,,,meta_recent_content,https://graph.facebook.com/v25.0/107579258704403,2026-07-07T08:03:45-04:00,,,,
,lady-sublime-facebook-page:external:107579258704403_725416256922883,lady-sublime-facebook-page,facebook,Facebook Page,Lady Sublime,107579258704403_725416256922883,2025-07-25T20:02:55+0000,2025-07-25,Facebook Page post,,post,https://www.facebook.com/984245981039908/posts/725416256922883,,,,,,147,23,0,170,,,,meta_recent_content,https://graph.facebook.com/v25.0/107579258704403,2026-07-07T08:03:45-04:00,,,,
